Data comes from State of Indiana Survey (State Survey) and EPA's Safe Drinking Water Information System (SDWIS).,,,,,,,,,,
Water System,Responded to State Survey?,# with Lead Service Line,% with Lead Service Line,Data Source,Full Address,Latitude,Longitude,SDWIS Total # of Service Connections,SDWIS LCR 90th Percentile Sample (ppm),SDWIS PWS ID
Brazil City Water Works,Yes,70,1.46%,Estimated,"2205 East US Highway 40, Brazil, IN 47834-9313",39.523675,-87.125024,4806,0.0149,IN5211001
Bremen Water Department,Yes,No response,Unknown,Unknown,"111 South Center Street, Bremen, IN 46506",41.446236,-86.147114,1810,0.001,IN5250003
Bremerton Mobile Home Park,No,No response,Unknown,Unknown,"1336 E Elm St, Griffith, IN 46319",41.53042,-87.410057,38,Unknown,IN5245004
Bristol Mobile Village,No,No response,Unknown,Unknown,"53586 County Road 27, Bristol, IN 46507",41.716605,-85.790839,70,Unknown,IN5220001
Bristol Water Department,No,No response,Unknown,Unknown,"P.O. Box 902, Bristol, IN 46507",41.721439,-85.817495,667,Unknown,IN5220003
Brook Water Utility,Yes,0,0%,Unknown,"P.O. Box 182, Brook, IN 47922",40.866426,-87.363637,427,Unknown,IN5256002
Brooklyn Water Works,Yes,0,0%,Recorded,"10 East Mill Street P.O. Box 159, Brooklyn, IN 46111-0159",39.53879,-86.369974,570,Unknown,IN5255002
Brookston Water Department,No,No response,Unknown,Unknown,"P.O. Box 238 Town Hall, Brookston, IN 47923",40.602594,-86.865996,680,Unknown,IN5291002
Brookville Water Works,Yes,34,2.84%,Estimated,"Town Hall 1020 Franklin Avenue, Brookville, IN 47012",39.426174,-85.010984,1199,Unknown,IN5224001
Brown County Water Utility,Yes,0,0%,Unknown,"5130 North State Road 135, Morgantown, IN 46160",39.269419,-86.2497,5250,0.0045,IN5207001
Brownsburg Water Works,Yes,200,2.22%,Unknown,"61 North Green Street, Brownsburg, IN 46112",39.844136,-86.396312,9000,0,IN5232002
Bruceville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 247, Bruceville, IN 47516",38.759491,-87.415574,225,Unknown,IN5242003
Buell Properties Dba Trails Edge Apts,No,No response,Unknown,Unknown,"P.O. Box 132 426 South Monroe, Staunton, IN 47881",39.485004,-87.189006,69,Unknown,IN5284022
Bunker Hill Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 565, Bunker Hill, IN 46914",40.660318,-86.10277,385,Unknown,IN5252003
Burlington Apartments,Yes,16,84.21%,Unknown,"1410 South Darby, Kokomo, IN 46902",40.47005,-86.163792,19,0.0867,IN5208012
Burnt Pines Water Association,No,No response,Unknown,Unknown,"2980 West County Road 200 South, North Vernon, IN 47265",38.954649,-85.667403,300,Unknown,IN5240001
Butler Water Department,Yes,No response,Unknown,Unknown,"141 Willow Street, Butler, IN 46721",41.426572,-84.873809,1014,Unknown,IN5217003
Cade Apartments,No,No response,Unknown,Unknown,"2764 West County Road 400 South, New Castle, IN 47362",39.87738,-85.426821,21,Unknown,IN5230010
Cambridge City Municipal Water Works,No,No response,Unknown,Unknown,"127 North Foote Street, Cambridge City, IN 47327",39.814312,-85.172035,1050,Unknown,IN5289002
Camden Water Utility,Yes,0,0%,Estimated,"P.O. Box 47, Camden, IN 46917-0047",40.608649,-86.540001,282,Unknown,IN5208001
Camp Atterbury,No,No response,Unknown,Unknown,"PO Box 5000 Bldg 232, Edinburgh, IN 46124-5000",39.353888,-85.966788,205,Unknown,IN5241015
Campbellsburg Water Works,Yes,0,0%,Estimated,"21 West Oak P.O. Box 219, Campbellsburg, IN 47108",38.651141,-86.261766,347,0.018,IN5288001
Canaan Utilities,Yes,0,0%,Estimated and Recorded,"P.O. Box 13, Canaan, IN 47224",38.880528,-85.241196,1674,0.005,IN5239001
Candlelight Development Corp,No,No response,Unknown,Unknown,"3350 West 250 North, West Lafayette, IN 47906",40.452921,-86.968955,86,Unknown,IN5279004
Cannelton Utilities,No,No response,Unknown,Unknown,"610 WASHINGTON STREET, Cannelton, IN 47520-1244",37.912528,-86.742439,660,Unknown,IN5262002
Carbon Water Corporation,No,No response,Unknown,Unknown,"1098 East County Road 425 North, Center Point, IN 47840-8351",39.449095,-87.08782,435,Unknown,IN5211002
Carlisle Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 277, Carlisle, IN 47838",38.962303,-87.402557,450,Unknown,IN5277001
Carmel Clay Water,Yes,0,0%,Unknown,"32 W Main St ste 220, Carmel, IN 46032",39.978618,-86.127931,364,0.0102,IN5229024
Carmel Water Department,Yes,0,0%,Unknown,"30 W Main St ste 220, Carmel, IN 46032",39.978642,-86.127855,30720,0.0086,IN5229004
Carriage House Estates,No,No response,Unknown,Unknown,"5396 South State Road 15, Wabash, IN 46992",40.739987,-85.753089,40,Unknown,IN5285019
Carriage Light Mobile Home Park - Lots 39-58,No,No response,Unknown,Unknown,"3839 West Landis Road, Angola, IN 46703",41.667024,-85.064313,20,Unknown,IN5276003
Carthage Water Department,No,No response,Unknown,Unknown,"3190 West 100 South, New Castle, IN 47362",39.917924,-85.446787,330,Unknown,IN5270001
Cataract Lake Water Corporation,No,No response,Unknown,Unknown,"P.O. Box 624, Cloverdale, IN 46120",39.514768,-86.793897,1200,Unknown,IN5260002
Cayuga Water Department,Yes,43,7.49%,Unknown,"1500 West White Oak Road, Cayuga, IN 47928",39.984085,-87.494685,574,Unknown,IN5283002
Cedar Creek Mobile Home Park,Yes,No response,Unknown,Unknown,"17210 County Line Road, Hebron, IN 46341",41.312618,-87.220206,15,Unknown,IN5252022
Cedar Gardens Mobile Home Park,No,No response,Unknown,Unknown,"11601 West 126 Avenue Trailer 22, Cedar Lake, IN 46303",41.389104,-87.474598,23,Unknown,IN5245050
Cedar Lake - Robins Nest,Yes,No response,Unknown,Unknown,"13498 Bluebird Ln, Cedar Lake, IN 46303",41.372923,-87.408878,280,Unknown,IN5245067
Cedar Lake Bible Conference Grounds,No,No response,Unknown,Unknown,"13701 Lauerman St, Cedar Lake, IN 46303",41.369622,-87.44145,90,Unknown,IN5245055
Cedar Lake Mobile Home Park,No,No response,Unknown,Unknown,"9001 West 133rd Place, Cedar Lake IN 46303",41.374541,-87.444469,35,Unknown,IN5245005
Cedar Lake Water Works,Yes,No response,Unknown,Unknown,"8550 Lakeshore Drive, Cedar Lake, IN 46303",41.383493,-87.439459,1211,0.0028,IN5245047
Center Point Water Works,Yes,10,3.94%,Estimated,"P.O. Box 177, Center Point, IN 47840",39.416986,-87.077236,254,Unknown,IN5211003
Centerville Water Works,Yes,No response,Unknown,Unknown,"3831 Southwest N Street, Richmond, IN 47374",39.811425,-84.949606,1073,0.0051,IN5289003
Chain O Lakes Correctional Facility,No,No response,Unknown,Unknown,"302 West Washington Street IGCS Rm E334, Indianapolis, IN 46204",39.767985,-86.165241,6,Unknown,IN5257023
Chalmers Water Works,No,No response,Unknown,Unknown,"P.O. Box 827, Chalmers, IN 47929",40.663093,-86.869457,240,Unknown,IN5291003
Chandler Water Works Department,Yes,0,0%,Estimated,"101 Constitution Court, Chandler, IN 47610",38.033904,-87.382662,7000,0.0073,IN5287002
Charlestown Water Department,No,No response,Unknown,Unknown,"304 Main Cross, Charlestown, IN 47111",38.443689,-85.660999,2700,Unknown,IN5210003
Charlestown/River Ridge,Yes,0,0%,Unknown,"6200 East Highway 62 Bldg. 2501, Jeffersonville, IN 47130",38.444905,-85.609168,66,0.0059,IN5210018
Chesterfield Water Department,No,No response,Unknown,Unknown,"17 Veterans Boulevard P.O. Box 95, Chesterfield, IN 46017",40.112866,-85.599557,1074,Unknown,IN5248004
Chicagoland Christian Village,No,No response,Unknown,Unknown,"6685 E 117th Ave, Crown Point, IN 46307",41.404195,-87.254875,45,Unknown,IN5245062
Chrisney Water Department,Yes,0,0%,Unknown,"P.O. Box 26, Chrisney, IN 47611",38.014773,-87.036386,325,Unknown,IN5274001
Churubusco Water Department,Yes,No response,Unknown,Estimated,"530 S Main St, Churubusco, IN 46723",41.226272,-85.318085,782,Unknown,IN5292003
Cicero Water Department,No,No response,Unknown,Unknown,"P.O. Box 391, Cicero, IN 46034",40.123926,-86.013318,2218,Unknown,IN5229005
Citizens Water - Indianapolis,Yes,23482,7.25%,Estimated and Recorded,"2020 N Meridian St, Indianapolis, IN 46202",39.793951,-86.158245,323911,0.0142,IN5249004
Citizens Water - Morgan,Yes,0,0%,Estimated,"2039 E Morgan St, Martinsville, IN 46151",39.429339,-86.404097,1693,0.004,IN5255019
Citizens Water Of Westfield LLC,Yes,0,0%,Estimated,"714 E 161st St, Westfield, IN 46074",40.02167,-86.145146,12976,0.0063,IN5229009
City Of Bloomington Utilities,Yes,7000,27.52%,Estimated,"P.O. Box 1216, Bloomington, IN 47402",39.09,-86.47,25432,0.008,IN5253002
City Of Georgetown (Illinois),No,No response,Unknown,Unknown,"106 Ferry Street, Cayuga, IN 47928",39.952251,-87.46192,15,Unknown,IN5283013
City Of Greendale Utilities,Yes,551,29.00%,Estimated,"510 Ridge Avenue, Greendale, IN 47025",39.109552,-84.860813,1900,0.0047,IN5215003
City Of Lawrence Utilities,Yes,0,0%,Recorded,"9201 Harrison Park Court, Indianapolis, IN 46216",39.852262,-86.006178,14500,0.0035,IN5249005
Clarks Hill Water Works,Yes,0,0%,Unknown,"P.O. Box 146, Clarks Hill, IN 47930",40.246981,-86.725006,280,Unknown,IN5279006
Clay City Water Works,No,No response,Unknown,Unknown,"P.O. Box 87, Clay City, IN 47841",39.276161,-87.113012,543,Unknown,IN5211004
Claypool Water Works,No,No response,Unknown,Unknown,"P.O. Box 6, Claypool, IN 46510",41.129523,-85.880045,168,Unknown,IN5243002
Clearview Resort,No,No response,Unknown,Unknown,"1200 South 6th Street, Monticello, IN 47960",40.727477,-86.777343,15,Unknown,IN5291006
Clearwater Village Mobile Home Park,No,No response,Unknown,Unknown,"62430 Locust Rd, South Bend, IN 46614",41.590552,-86.280217,227,Unknown,IN5271012
Clinton Township Water Company,Yes,0,0%,Estimated,"15495 South Rangeline Road, Clinton, IN 47842-7580",39.658985,-87.464104,840,Unknown,IN5283003
Clinton Water Utility,Yes,0,0%,Estimated,"259 Vine Street, Clinton, IN 47842",39.660954,-87.39927,1954,0.0145,IN5283004
Cloverdale Water Works,No,No response,Unknown,Unknown,"P.O. Box 222, Cloverdale, IN 46120",39.514768,-86.793897,1020,Unknown,IN5267003
Coachlight Mobile Home Court - Lots 1-18,No,No response,Unknown,Unknown,"3835 West Landis Road, Angola, IN 46703",41.666969,-85.064156,18,Unknown,IN5276033
Cobus Green Mobile Home Park,No,No response,Unknown,Unknown,"54152 Ash Rd, Osceola, IN 46561",41.708332,-86.061797,349,Unknown,IN5220037
Colfax Water Company,Yes,0,0%,Estimated,"208 West Main Street P.O. Box 326, Colfax, IN 46035",40.193802,-86.667924,269,Unknown,IN5212001
Colonial Mobile Court,No,No response,Unknown,Unknown,"6302 North 400 West, Michigan City, IN 46360",41.698393,-86.778175,59,Unknown,IN5246005
Columbia City Water Department,Yes,1267,32.42%,Unknown,"920 East Van Buren, Columbia City, IN 46725",41.156811,-85.474818,3908,0.0326,IN5292004
Columbus Municipal Utility,Yes,2000,14.05%,Unknown,"P.O. Box 1987, Columbus, IN 47202-1987",39.2,-85.92,14230,0.0079,IN5203002
Connersville Utilities,Yes,350,5.95%,Estimated,"P.O. Box 325, Connersville, IN 47331",39.641159,-85.141075,5883,0.0008,IN5221001
Converse Water Works,No,No response,Unknown,Unknown,"4015 West 100 North, Huntington, IN 46750",40.843376,-85.531075,476,Unknown,IN5252006
Cordry Sweetwater Conservancy District,Yes,0,0%,Unknown,"8377 Cordry Drive, Nineveh, IN 46164",39.31854,-86.115538,1356,0.0031,IN5207004
Corunna Water Utility,Yes,0,0%,Unknown,"P.O. Box 62, Corunna, IN 46730",41.437272,-85.147193,94,Unknown,IN5217008
Corydon Water Works,No,No response,Unknown,Unknown,"113 North Oak Street, Corydon, IN 47112",38.210999,-86.12753,2300,Unknown,IN5231001
Country Acres Association,No,No response,Unknown,Unknown,"995 Paradise Lane Lot 28, Decatur, IN 46733",40.805192,-84.955112,38,Unknown,IN5201023
Country Acres Mobile Home Park,Yes,No response,Unknown,Unknown,"9500 North Wheeling Avenue Box 100, Muncie, IN 47304",40.274867,-85.432009,100,Unknown,IN5218003
Country Court Estates,Yes,0,0%,Unknown,"10744 US-27, Fort Wayne, IN 46816",40.98512,-85.090865,250,Unknown,IN5202003
Country Estates Mobile Home Park,No,No response,Unknown,Unknown,"4410 West Old State Road 28, Frankfort, IN 46041-7126",40.278539,-86.483079,60,Unknown,IN5212002
Country Manor Estates,No,No response,Unknown,Unknown,"13174 North Gasburg Road, Mooresville, IN 46158",39.617641,-86.437274,511,Unknown,IN5255017
Country Meadows Mobile Home Park,No,No response,Unknown,Unknown,"929 Monarch Ln, Rochester, IN 46975",41.051105,-86.229424,28,Unknown,IN5220031
Country Retreat MHC LLC,Yes,No response,Unknown,Unknown,"1210 South Q Street, Richmond, IN 47374",39.807889,-84.887116,22,Unknown,IN5289001
Country Squire Mobile Home Park Inc,No,No response,Unknown,Unknown,"8555 South Pugsley Road Lot #2, Daleville, IN 47334",40.116589,-85.472695,17,Unknown,IN5218004
Country View Estates,No,No response,Unknown,Unknown,"1199 Hospital Rd #52, Franklin, IN 46131",39.47753,-86.08003,20,Unknown,IN5254019
Country Village Apartments,Yes,No response,Unknown,Unknown,"1732 East National Avenue, Brazil, IN 47834",39.528874,-87.104773,36,Unknown,IN5232012
Countryside Estate Mobile Home Park,Yes,0,0%,Unknown,"1500 E Fuson Rd, Muncie, IN 47302",40.151221,-85.369925,68,Unknown,IN5273005
Countryview Farms,No,No response,Unknown,Unknown,"5900 W Co Rd 350 N #45, Muncie, IN 47304",40.241307,-85.455881,147,Unknown,IN5218011
County Line Mobile Home Park,No,No response,Unknown,Unknown,"311 Lockerbie Pl, Fairmount, IN 46928",40.380081,-85.653725,38,Unknown,IN5227003
Covington Water Department,Yes,No response,Unknown,Unknown,"1329 2nd Street P.O. Box 248, Covington, IN 47932",40.146306,-87.40049,1247,Unknown,IN5223002
Crane Water Works,No,No response,Unknown,Unknown,"23148 Harper Hill Road, Loogootee, IN 47553",38.836498,-86.898805,125,Unknown,IN5251002
Crawford County Water Company Inc,Yes,No response,Unknown,Unknown,"293 North State Road 66, Marengo, IN 47140",38.342505,-86.354587,960,Unknown,IN5213001
Creekside Manor Mobile Home Park,No,No response,Unknown,Unknown,"P.O. Box 249, Lapaz, IN 46537",41.457827,-86.307881,42,Unknown,IN5250007
Creekside Mobile Home Park,No,No response,Unknown,Unknown,"102 Millers Dr, Mentone, IN 46539",41.174742,-86.048577,58,Unknown,IN5273004
Crescent Hills Mobile Home Park,No,No response,Unknown,Unknown,"1801 W Market, Logansport IN 46947",40.756121,-86.395374,47,Unknown,IN5209011
Cromwell Water Works,No,No response,Unknown,Unknown,"P.O. Box 574, Cromwell, IN 46732",41.400604,-85.615818,235,Unknown,IN5257004
Crossings Mobile Home Park,Yes,0,0%,Recorded,"5333 Wilson Place, Merrillville, IN 46410 ",41.521659,-87.378177,42,Unknown,IN5245014
Crothersville Utilities,No,No response,Unknown,Unknown,"111 East Howard Street, Crothersville, IN 47229",38.795334,-85.840883,750,Unknown,IN5236001
Crown Point Water Works,No,No response,Unknown,Unknown,"705 Industrial Boulevard, Crown Point, IN 46307",41.424426,-87.345938,13048,Unknown,IN5245008
Culver Educational Foundation,No,No response,Unknown,Unknown,"1300 Academy Road #154, Culver, IN 46511",41.225093,-86.404714,50,Unknown,IN5250004
Culver Water Department,No,No response,Unknown,Unknown,"200 East Washington, Culver, IN 46511",41.217726,-86.422523,850,Unknown,IN5250005
Culvers Hill - North Webster,No,No response,Unknown,Unknown,"104 South Main Street, Nappanee, IN 46550",41.44244,-86.001613,44,Unknown,IN5243005
Cynthiana Water Works,No,No response,Unknown,Unknown,"P.O. Box 95, Cynthiana, IN 47612",38.187544,-87.710303,270,Unknown,IN5265004
Dale Water Works,No,No response,Unknown,Unknown,"P.O. Box 117, Dale, IN 47523",38.168942,-86.989997,654,Unknown,IN5274002
Daleville (Town Of),Yes,No response,Unknown,Unknown,"8019 South Walnut P.O. Box 567, Daleville, IN 47334",40.121361,-85.558114,714,Unknown,IN5218027
Dana Water Works,No,No response,Unknown,Unknown,"104 Maple Street P.O. Box 371, Dana, IN 47847",39.804535,-87.494653,15,Unknown,IN5283005
Danville Water Works,Yes,100,3.03%,Estimated and Recorded,"49 North Wayne Street, Danville, IN 46122",39.761462,-86.52013,3300,0.005,IN5232004
Darlington Water,Yes,0,0%,Recorded,"222 W Main St, Darlington, IN 47940",40.109903,-86.776572,317,Unknown,IN5254003
Daviess County Rural Water,Yes,No response,Unknown,Unknown,"P.O. Box 129, Washington, IN 47501-0129",38.659215,-87.172789,2847,0.0036,IN5214002
Dayton Water Utility,Yes,0,0%,Unknown,"P.O. Box 557, Dayton, IN 47941-0557",40.377537,-86.775571,535,Unknown,IN5279021
Decatur Co Water Corp,No,No response,Unknown,Unknown,"3455 Old North US Highway 421, Greensburg, IN 47240",39.386711,-85.548512,1090,Unknown,IN5216008
Decatur Water Department,Yes,2300,51.57%,Estimated,"172 North 2nd Street, Decatur, IN 46733",40.831282,-84.924047,4460,0.0077,IN5201002
Decker Water Works,Yes,0,0%,Recorded,"8 Julius P.O. Box 275, Freelandville, IN 47535",38.861196,-87.302036,109,Unknown,IN5242004
Deer Creek Estates Home Water Assoc,Yes,0,0%,Recorded,"P.O. Box 382, Galveston, IN 46932",40.578928,-86.190272,98,Unknown,IN5252007
Deerwood Mobile Home Park,No,No response,Unknown,Unknown,"4016 Lincoln Boulevard, Marion, IN 46953",40.52091,-85.64088,56,Unknown,IN5227004
Delaware Acres MHC,Yes,No response,Unknown,Unknown,"9901 State Road 3 North Lot 4, Muncie, IN 47303",40.238831,-85.367726,128,Unknown,IN5218005
Delphi Water Works,Yes,No response,Unknown,Unknown,"201 South Union Street, Delphi, IN 46923-1594",40.586369,-86.67237,1200,Unknown,IN5208002
Dillsboro Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 127, Dillsboro, IN 47018",39.017835,-85.058843,790,0.0243,IN5215002
Dixon Woods Apartments,No,No response,Unknown,Unknown,"540 North Liberty Street, Russiavillle, IN 46979",40.423673,-86.272247,24,Unknown,IN5234011
Dublin Municipal Water Works,Yes,0,0%,Recorded,"2250 East Cumberland St P.O. Box 145, Dublin, IN 47335",39.812202,-85.208306,401,Unknown,IN5289005
Dubois Water Utilities,Yes,0,0%,Recorded,"5470 East Waterworks Street, Dubois, IN 47527-9767",38.441313,-86.805359,3452,0.0092,IN5219002
Duff Water Corporation,Yes,0,0%,Estimated,"6675 West 450 South, Huntingburg, IN 47542",38.315528,-87.031111,330,Unknown,IN5219003
Dugger Utilities,No,No response,Unknown,Unknown,"P.O. Box 146, Dugger, IN 47848",39.070043,-87.261404,843,Unknown,IN5277002
Duneland Beach Association,Yes,20,10.10%,Estimated,"3303 LaSalle Trail, Michigan City, IN 46360",41.75356,-86.830917,198,Unknown,IN5246008
Dunkirk Water Department,No,No response,Unknown,Unknown,"312 North Meridian Street, Dunkirk, IN 47336",40.377502,-85.210615,1033,Unknown,IN5238001
Dupont Water Company,No,No response,Unknown,Unknown,"P.O. Box 600, Dupont, IN 47231",38.890056,-85.51413,1525,Unknown,IN5240004
