Unnamed: 0,Water System,respondent,num_lsl,pct_lsl,data_source,full_addr,lat,long,tot_num_serv_connects_sdwis,LCR_90thpctile,SDWIS PWS ID,PWSID,sys_name,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,Service Line Material is Unknown - Number of Service Connection,lead_gooseneck_serv_connects,lead_serv_line_serv_connects,"Lead only from Water Main to Property line, Curb or Shut-Off",lead_btwn_shutoff_house,owner_btwn_watermain_shutoff,"Ownership from curb, propertly line, or shut-off to home",e_r_leadportion,e_r_slmat,e_r_lead_gooseneck,E or R - Entire Service Line is Lead from the Water Main to home,e_r_lead_maintoshutoff,e_r_shutofftohouse,e_r_num_serv_connects,e_r_tot_sl_w_lead,conf_rec_no_lead,conf_rec_mat_unk,conf_rec_lead_gooseneck,conf_rec_lead_servline,conf_rec_lead_btwn_watermain_shutoff,conf_rec_lead_btw_shutoff_house,Confidence in Records - Total Number of Service Connection,conf_rec_tot_num_serv_lines_w_lead,_merge
10,Anderson Water Department,Yes,6936,32.26%,Estimated and Recorded,"550 Dale Keith Jones Road, Anderson, IN 46011",40.11052,-85.720973,21500,0.0023,IN5248002,IN5248002,ANDERSON WATER DEPARTMENT,27745.0,6936.0,18034.0,2775.0,6243.0,,693.0,,M,R,E and R,E and R,E and R,,E,,R,E and R,4.0,4.0,5.0,,4.0,,7.0,4.0,both
11,Andrews Water Department,No,No response,Unknown,Unknown,"P.O. Box 386, Andrews, IN 46702",40.862545,-85.601646,447,Unknown,IN5235001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12,And-Tro Water Authority - District 1 & 2,No,No response,Unknown,Unknown,"P.O. Box 603, Tell City, IN 47586",37.947392,-86.769278,1030,Unknown,IN5262001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
13,Angola Water Department,Yes,410,13.00%,Estimated,"210 North Public Square, Angola, IN 46703-1960",41.635098,-84.999853,3155,0.008,IN5276001,IN5276001,ANGOLA WATER DEPARTMENT,3010.0,410.0,2000.0,600.0,400.0,10.0,0.0,0.0,R,R,E,E,E,E,E,E,R,E,5.0,7.0,6.0,8.0,1.0,1.0,8.0,5.0,both
14,Anoka Acres Mobile Home Park,No,No response,Unknown,Unknown,"2904 S US Highway 35, Logansport IN 46947",40.723864,-86.286764,81,Unknown,IN5209001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
15,Apple Valley Utilities Inc,No,No response,Unknown,Unknown,"5940 West Raymond Street, Indianapolis, IN 46241",39.73609,-86.262283,185,Unknown,IN5245001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
16,Aqua Indiana - Wedgewood Park Water Utility,No,No response,Unknown,Unknown,"6811 Engle Rd, Fort Wayne, IN 46804",41.04037,-85.232577,214,Unknown,IN5271018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
17,Aqua Indiana Water Company,No,No response,Unknown,Unknown,"5750 Castle Creek Parkway North Drive, Indianapolis, IN 46250",39.916363,-86.070166,460,Unknown,IN5245017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
18,Arcadia Water Department,Yes,28,4.31%,Estimated,"P.O. Box 578, Arcadia, IN 46030-0578",40.17587,-86.021652,650,Unknown,IN5229001,IN5229001,ARCADIA WATER DEPARTMENT,653.0,28.0,625.0,0.0,28.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,E,E,8.0,5.0,5.0,10.0,10.0,10.0,10.0,5.0,both
19,Argos Municipal Water Plant,No,No response,Unknown,Unknown,"201 West Walnut Street, Argos, IN 46501",41.235849,-86.247098,740,Unknown,IN5250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
20,Arrowhead Mobile Home Park,Yes,No response,Unknown,Unknown,"9837 Gulfstream Court, Fishers, IN 46037",39.937117,-85.960609,47,0.0237,IN5230001,IN5230001,ARROWHEAD MOBILE HOME PARK,50.0,,50.0,,,,,,P,R,R,,,,,,,,10.0,,,,,,,,both
21,Ashley Water Department,Yes,0,0%,Estimated,"403 West Lincoln Street P.O. Box 70, Ashley, IN 46705",41.527998,-85.071786,400,Unknown,IN5276002,IN5276002,ASHLEY WATER DEPARTMENT,400.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,E,E,E,E,E,E,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,both
22,Atlanta Water Department,Yes,0,0%,Recorded,"P.O. Box 133, Atlanta, IN 46031",40.215315,-86.026375,300,Unknown,IN5229002,IN5229002,ATLANTA WATER DEPARTMENT,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
23,Attica Water Utility,No,No response,Unknown,Unknown,"305 East Main Street, Attica, IN 47918",40.29303,-87.246764,1400,Unknown,IN5223001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24,Auburn Water Department,Yes,150,2.77%,Estimated,"800 North Street, Auburn, IN 46706",41.373216,-85.069559,5413,0.013,IN5217001,IN5217001,AUBURN WATER DEPARTMENT,5238.0,150.0,5038.0,50.0,,,150.0,,M,R,R,E,,,E,,R,E,8.0,1.0,,,1.0,,8.0,1.0,both
25,Aurora Utilities,Yes,12,0.46%,Estimated,"P.O. Box 120 110 Main Street, Aurora, IN 47001",39.05719,-84.899759,2590,0.0015,IN5215001,IN5215001,AURORA UTILITIES,1924.0,12.0,1884.0,30.0,2.0,10.0,0.0,0.0,M,R,R,E,E,E,E,E,R,E,9.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,both
26,Autumn Acres Mobile Home Subdivision,No,No response,Unknown,Unknown,"2800 South Andrews Road Lot 47, Yorktown, IN 47396",40.167486,-85.479632,32,Unknown,IN5218028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27,Autumn Creek Mobile Home Park,No,No response,Unknown,Unknown,"2501 Chicago Street Suite 4, Valparaiso, IN 46385",41.472644,-87.030529,99,Unknown,IN5246007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
28,Autumn Grove,No,No response,Unknown,Unknown,"P.O. Box 143, Leesburg, IN 46538",41.33199,-85.849992,23,Unknown,IN5244013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29,Avilla Water Department,Yes,No response,Unknown,Unknown,"P.O.  Box 49, Avilla, IN 46710-0049",41.365882,-85.238863,825,Unknown,IN5257002,IN5257002,AVILLA WATER DEPARTMENT,823.0,,540.0,283.0,,,,,M,R,E,E,,,,,R,,8.0,10.0,,,,,10.0,,both
30,B&B Water Project Inc,Yes,0,0%,Estimated,"P.O. Box 7287, Bloomington, IN 47407-7287",39.25,-86.45,1788,0.0001,IN5253001,IN5253001,"B&B WATER PROJECT, INC.",1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,R,E,8.0,8.0,8.0,,8.0,,8.0,8.0,both
31,Bainbridge Water Works,Yes,No response,Unknown,Unknown,"201 North Grant Avenue, Bainbridge, IN 46105-9344",39.762233,-86.817696,335,Unknown,IN5267001,IN5267001,BAINBRIDGE WATER WORKS,310.0,,310.0,,,,,,,,R,,,,,,R,,10.0,,,,,,10.0,,both
32,Bargersville Water Department,Yes,0,0%,Unknown,"24 North Main P.O. Box 420, Bargersville, IN 46106-0420",39.521386,-86.168272,13000,0.009,IN5241001,IN5241001,BARGERSVILLE WATER DEPARTMENT,11000.0,0.0,11000.0,0.0,0.0,,0.0,,M,R,E and R,E and R,E and R,,E and R,,R,,10.0,,10.0,,10.0,,10.0,10.0,both
33,Batesville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 97, Batesville, IN 47006",39.298127,-85.224191,2910,Unknown,IN5269001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
34,Battle Ground Water District,No,No response,Unknown,Unknown,"P.O. Box 303, Battle Ground, IN 47920",40.508369,-86.841676,850,Unknown,IN5279002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
35,Bbp Water Company,Yes,No response,Unknown,Unknown,"P.O. Box 186 256 South Clay Street, Spencer, IN 47460",39.281968,-86.765401,3800,0.0078,IN5260001,IN5260001,BBP WATER COMPANY,3716.0,,2581.0,1135.0,,,,,P,R,R,R,,,,,,,10.0,5.0,,,,,,,both
36,Bedford City Utilities,Yes,No response,Unknown,Unknown,"1614 L Street, Bedford, IN 47421-3730",38.860165,-86.486821,5855,0.008,IN5247001,IN5247001,BEDFORD CITY UTILITIES,5832.0,,15.0,5817.0,,,,,M,R,R,R,,,,,,,10.0,10.0,,,,,,,both
37,Beechwood Mobile Home Park,No,No response,Unknown,Unknown,"10112 West 50 North, Michigan City, IN 46360",41.61362,-86.896071,43,Unknown,IN5246002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
38,Ben Mar Chateau,No,No response,Unknown,Unknown,"100 South Taylor Road, Garrett, IN 46738",41.350458,-85.11723,60,Unknown,IN5217002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
39,Berne Water Department,Yes,134,8.55%,Recorded,"158 West Franklin Street, Berne, IN 46711",40.656404,-84.951093,1568,0.012,IN5201001,IN5201001,BERNE WATER DEPARTMENT,1568.0,134.0,1302.0,0.0,,,134.0,,P,R,R,R,,,R,,R,R,8.0,6.0,,,8.0,,8.0,8.0,both
40,Bicknell Municipal Utilities,Yes,200,13.29%,Estimated,"203 Washington St, Bicknell, IN 47512",38.773856,-87.306442,1505,0.002,IN5242001,IN5242001,BICKNELL MUNICIPAL UTILITIES,1505.0,200.0,,,200.0,0.0,0.0,0.0,,,,,E,R,R,R,E,E,,,1.0,1.0,1.0,1.0,1.0,1.0,both
41,Big Maple Mobile Home Park,No,No response,Unknown,Unknown,"S.R. 37 Woodville Rd West E, Strawtown, IN 46060",40.122718,-85.946149,24,Unknown,IN5229003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
42,Big Walnut Water Company,Yes,No response,Unknown,Unknown,"P.O. Box 750, Greencastle, IN 46135",39.64449,-86.864732,208,Unknown,IN5267002,IN5267002,BIG WALNUT WATER COMPANY,,,0.0,150.0,0.0,0.0,0.0,0.0,P,R,E,,,,,,,,8.0,8.0,,,,,,,both
43,Birdseye Water System,Yes,0,0%,Recorded,"103 West State Road 64, Birdseye, IN 47513",38.29903,-86.688651,360,Unknown,IN5219001,IN5219001,BIRDSEYE WATER SYSTEM,360.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
44,Bloomingdale Water Works,No,No response,Unknown,Unknown,"P.O. Box 27 82 South Main Street, Bloomingdale, IN 47832-0206",39.832555,-87.250557,190,Unknown,IN5261001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
45,Blue Lake Mobile Home Park,No,No response,Unknown,Unknown,"6120 East 500 North, Churubusco IN 46723",41.23582,-85.372481,50,Unknown,IN5292010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
46,Blue Ridge Mobile Home Park,No,No response,Unknown,Unknown,"6775 U.S. 33, Churubusco IN 46723",41.257772,-85.36041,110,Unknown,IN5292002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
47,Blue River Estates Mobile Home Park,Yes,0,0%,Estimated,"P.O. Box 17496, Indianapolis, IN 46217",39.661576,-86.185347,50,Unknown,IN5273001,IN5273001,BLUE RIVER ESTATES MOBILE HOME PARK,52.0,0.0,52.0,,0.0,0.0,0.0,0.0,P,P,E,,E,E,E,E,R,E,8.0,,8.0,8.0,8.0,8.0,10.0,8.0,both
48,Blue River Regional Water District,Yes,0,0%,Recorded,"8569 East State Road 64, Milltown, IN 47145",38.357461,-86.297153,800,Unknown,IN5213006,IN5213006,BLUE RIVER REGIONAL WATER DISTRICT,786.0,0.0,786.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
49,Bluffs Basin Utility Company,No,No response,Unknown,Unknown,"122 East Fourth Street, Marion, IN 46952",40.557585,-85.658699,15,Unknown,IN5227002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
50,Bluffton Utilities Water Dept,Yes,1094,25.43%,Estimated,"900 Compromise Lane, Bluffton, IN 46714",40.737109,-85.157246,4302,0.0048,IN5290001,IN5290001,BLUFFTON UTILITIES WATER DEPT,4302.0,1094.0,47.0,3161.0,,,1094.0,,M,R,E,E,E,E,E,E,R,E,8.0,8.0,10.0,10.0,8.0,10.0,10.0,8.0,both
51,Borden Tri-County Region,No,No response,Unknown,Unknown,"P.O. Box 40, Borden, IN 47106",38.466728,-85.945804,3961,Unknown,IN5210002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
52,Boswell Water Department,No,No response,Unknown,Unknown,"112 North Adams Street P.O. Box 223, Boswell, IN 47921",40.51916,-87.383654,400,Unknown,IN5204002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
53,Bourbon Water Department,Yes,No response,Unknown,Estimated,"104 East Park Avenue, Bourbon, IN 46504-1528",41.297115,-86.11583,772,Unknown,IN5250002,IN5250002,BOURBON WATER DEPARTMENT,775.0,,109.0,666.0,,0.0,,,M,R,R,R,,E,E,E,R,E,10.0,10.0,,5.0,10.0,10.0,10.0,10.0,both
54,Brazil City Water Works,Yes,70,1.46%,Estimated,"2205 East US Highway 40, Brazil, IN 47834-9313",39.523675,-87.125024,4806,0.0149,IN5211001,IN5211001,BRAZIL CITY WATER WORKS,4650.0,70.0,4480.0,100.0,30.0,20.0,20.0,,P,R,E,E,E,E,E,E,E,E,8.0,6.0,6.0,6.0,6.0,,8.0,6.0,both
55,Bremen Water Department,Yes,No response,Unknown,Unknown,"111 South Center Street, Bremen, IN 46506",41.446236,-86.147114,1810,0.001,IN5250003,IN5250003,BREMEN WATER DEPARTMENT,1797.0,,25.0,1772.0,,,,,M,R,R,,,,,,,,7.0,,,,,,,,both
56,Bremerton Mobile Home Park,No,No response,Unknown,Unknown,"1336 E Elm St, Griffith, IN 46319",41.53042,-87.410057,38,Unknown,IN5245004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
57,Bristol Mobile Village,No,No response,Unknown,Unknown,"53586 County Road 27, Bristol, IN 46507",41.716605,-85.790839,70,Unknown,IN5220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
58,Bristol Water Department,No,No response,Unknown,Unknown,"P.O. Box 902, Bristol, IN 46507",41.721439,-85.817495,667,Unknown,IN5220003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
59,Brook Water Utility,Yes,0,0%,Unknown,"P.O. Box 182, Brook, IN 47922",40.866426,-87.363637,427,Unknown,IN5256002,IN5256002,BROOK WATER UTILITY,441.0,0.0,441.0,,,,,,P,R,E,,,,,,E,,10.0,,,,,,10.0,,both
60,Brooklyn Water Works,Yes,0,0%,Recorded,"10 East Mill Street P.O. Box 159, Brooklyn, IN 46111-0159",39.53879,-86.369974,570,Unknown,IN5255002,IN5255002,BROOKLYN WATER WORKS,561.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
61,Brookston Water Department,No,No response,Unknown,Unknown,"P.O. Box 238 Town Hall, Brookston, IN 47923",40.602594,-86.865996,680,Unknown,IN5291002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
62,Brookville Water Works,Yes,34,2.84%,Estimated,"Town Hall 1020 Franklin Avenue, Brookville, IN 47012",39.426174,-85.010984,1199,Unknown,IN5224001,IN5224001,BROOKVILLE WATER WORKS,1215.0,34.0,1169.0,12.0,20.0,0.0,13.0,1.0,M,R,E,E,E,E,E,R,R,E,7.0,9.0,3.0,9.0,7.0,7.0,9.0,5.0,both
63,Brown County Water Utility,Yes,0,0%,Unknown,"5130 North State Road 135, Morgantown, IN 46160",39.269419,-86.2497,5250,0.0045,IN5207001,IN5207001,BROWN COUNTY WATER UTILITY,5500.0,0.0,3500.0,2000.0,,,,,P,R,E,E,,,,,E,,8.0,8.0,,,,,8.0,,both
64,Brownsburg Water Works,Yes,200,2.22%,Unknown,"61 North Green Street, Brownsburg, IN 46112",39.844136,-86.396312,9000,0,IN5232002,IN5232002,BROWNSBURG WATER WORKS,700.0,200.0,0.0,500.0,200.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,,,1.0,1.0,1.0,1.0,1.0,1.0,,,both
65,Bruceville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 247, Bruceville, IN 47516",38.759491,-87.415574,225,Unknown,IN5242003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66,Buell Properties Dba Trails Edge Apts,No,No response,Unknown,Unknown,"P.O. Box 132 426 South Monroe, Staunton, IN 47881",39.485004,-87.189006,69,Unknown,IN5284022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
67,Bunker Hill Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 565, Bunker Hill, IN 46914",40.660318,-86.10277,385,Unknown,IN5252003,IN5252003,BUNKER HILL WATER WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,both
68,Burlington Apartments,Yes,16,84.21%,Unknown,"1410 South Darby, Kokomo, IN 46902",40.47005,-86.163792,19,0.0867,IN5208012,IN5208012,BURLINGTON APARTMENTS,16.0,16.0,16.0,,,,,16.0,M,M,R,,,,,R,,,10.0,,,,,10.0,,,both
69,Burnt Pines Water Association,No,No response,Unknown,Unknown,"2980 West County Road 200 South, North Vernon, IN 47265",38.954649,-85.667403,300,Unknown,IN5240001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
70,Butler Water Department,Yes,No response,Unknown,Unknown,"141 Willow Street, Butler, IN 46721",41.426572,-84.873809,1014,Unknown,IN5217003,IN5217003,BUTLER WATER DEPARTMENT,2684.0,,,2684.0,,,,,P,R,,,,,,,,,,,,,,,,,both
71,Cade Apartments,No,No response,Unknown,Unknown,"2764 West County Road 400 South, New Castle, IN 47362",39.87738,-85.426821,21,Unknown,IN5230010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
72,Cambridge City Municipal Water Works,No,No response,Unknown,Unknown,"127 North Foote Street, Cambridge City, IN 47327",39.814312,-85.172035,1050,Unknown,IN5289002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
73,Camden Water Utility,Yes,0,0%,Estimated,"P.O. Box 47, Camden, IN 46917-0047",40.608649,-86.540001,282,Unknown,IN5208001,IN5208001,CAMDEN WATER UTILITY,285.0,0.0,203.0,82.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,R,E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
74,Camp Atterbury,No,No response,Unknown,Unknown,"PO Box 5000 Bldg 232, Edinburgh, IN 46124-5000",39.353888,-85.966788,205,Unknown,IN5241015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
75,Campbellsburg Water Works,Yes,0,0%,Estimated,"21 West Oak P.O. Box 219, Campbellsburg, IN 47108",38.651141,-86.261766,347,0.018,IN5288001,IN5288001,CAMPBELLSBURG WATER WORKS,347.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,P,R,R,E,E,E,E,E,R,E,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,both
76,Canaan Utilities,Yes,0,0%,Estimated and Recorded,"P.O. Box 13, Canaan, IN 47224",38.880528,-85.241196,1674,0.005,IN5239001,IN5239001,CANAAN UTILITIES,1790.0,0.0,1790.0,0.0,0.0,0.0,0.0,0.0,P,R,E and R,,E,E and R,R,E,,E and R,10.0,,9.0,10.0,9.0,9.0,,9.0,both
77,Candlelight Development Corp,No,No response,Unknown,Unknown,"3350 West 250 North, West Lafayette, IN 47906",40.452921,-86.968955,86,Unknown,IN5279004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
78,Cannelton Utilities,No,No response,Unknown,Unknown,"610 WASHINGTON STREET, Cannelton, IN 47520-1244",37.912528,-86.742439,660,Unknown,IN5262002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
79,Carbon Water Corporation,No,No response,Unknown,Unknown,"1098 East County Road 425 North, Center Point, IN 47840-8351",39.449095,-87.08782,435,Unknown,IN5211002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
80,Carlisle Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 277, Carlisle, IN 47838",38.962303,-87.402557,450,Unknown,IN5277001,IN5277001,CARLISLE WATER DEPARTMENT,450.0,,,450.0,,,,,U,U,,R,,,,,,,,4.0,,,,,,,both
81,Carmel Clay Water,Yes,0,0%,Unknown,"32 W Main St ste 220, Carmel, IN 46032",39.978618,-86.127931,364,0.0102,IN5229024,IN5229024,CARMEL CLAY WATER,467.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,M,R,R,,,,,,,,9.0,,,,,,,,both
82,Carmel Water Department,Yes,0,0%,Unknown,"30 W Main St ste 220, Carmel, IN 46032",39.978642,-86.127855,30720,0.0086,IN5229004,IN5229004,CARMEL WATER DEPARTMENT,29382.0,0.0,27044.0,2338.0,0.0,0.0,0.0,0.0,M,R,R,E,,,,,,,9.0,9.0,,,,,,,both
83,Carriage House Estates,No,No response,Unknown,Unknown,"5396 South State Road 15, Wabash, IN 46992",40.739987,-85.753089,40,Unknown,IN5285019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
84,Carriage Light Mobile Home Park - Lots 39-58,No,No response,Unknown,Unknown,"3839 West Landis Road, Angola, IN 46703",41.667024,-85.064313,20,Unknown,IN5276003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
85,Carthage Water Department,No,No response,Unknown,Unknown,"3190 West 100 South, New Castle, IN 47362",39.917924,-85.446787,330,Unknown,IN5270001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
86,Cataract Lake Water Corporation,No,No response,Unknown,Unknown,"P.O. Box 624, Cloverdale, IN 46120",39.514768,-86.793897,1200,Unknown,IN5260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
87,Cayuga Water Department,Yes,43,7.49%,Unknown,"1500 West White Oak Road, Cayuga, IN 47928",39.984085,-87.494685,574,Unknown,IN5283002,IN5283002,CAYUGA WATER DEPARTMENT,574.0,43.0,415.0,112.0,43.0,0.0,0.0,0.0,M,R,R,E,E,E,E,E,E,,7.0,5.0,7.0,5.0,5.0,5.0,5.0,,both
88,Cedar Creek Mobile Home Park,Yes,No response,Unknown,Unknown,"17210 County Line Road, Hebron, IN 46341",41.312618,-87.220206,15,Unknown,IN5252022,IN5252022,CEDAR CREEK MOBILE HOME PARK,48.0,,48.0,,,,,,R,R,E and R,,,,,,,,8.0,,,,,,,,both
89,Cedar Gardens Mobile Home Park,No,No response,Unknown,Unknown,"11601 West 126 Avenue Trailer 22, Cedar Lake, IN 46303",41.389104,-87.474598,23,Unknown,IN5245050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
90,Cedar Lake - Robins Nest,Yes,No response,Unknown,Unknown,"13498 Bluebird Ln, Cedar Lake, IN 46303",41.372923,-87.408878,280,Unknown,IN5245067,IN5245067,CEDAR LAKE - ROBINS NEST,305.0,,305.0,,,,,,M,R,R,,,,,,,,8.0,,,,,,,,both
91,Cedar Lake Bible Conference Grounds,No,No response,Unknown,Unknown,"13701 Lauerman St, Cedar Lake, IN 46303",41.369622,-87.44145,90,Unknown,IN5245055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
92,Cedar Lake Mobile Home Park,No,No response,Unknown,Unknown,"9001 West 133rd Place, Cedar Lake IN 46303",41.374541,-87.444469,35,Unknown,IN5245005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
